title,album,year,lyrics_raw
Screenager,Origin of Symmetry,2001,"[Verse 1]
Who's so phony and always surrounded?
Stop your screaming, no one can hear
All the scars on your skin post no bills

[Chorus]
Who you were
Was so beautiful
Remember
Who, who you were

[Verse 2]
Hide from the mirror—the cracks and the memories
Hide from your family, they won't know you now
For all the holes in our souls host no thrills

[Chorus]
Who you were
Was so beautiful
Remember
Who, who you were"
Darkshines,Origin of Symmetry,2001,"[Verse 1]
Passing by, you light up my darkest skies
You'll take only seconds to draw me in

[Pre-Chorus]
So be mine
And your innocence I will consume

[Chorus]
Dark shines
Bringin' me down
Makin' my heart feel sore
'Cause it's good

[Verse 2]
Hold your hands up to your eyes again
Hide from the scary scenes, suppress your fears

[Pre-Chorus]
So be mine
And your innocence I will consume

[Chorus]
Dark shines
Bringin' me down
Makin' my heart feel sore
'Cause it's good
Your dark shines
Bringin' me down
Makin' my heart feel sore
'Cause it's good

[Instrumental Bridge]

[Chorus]
Dark shines
Bringin' me down
Makin' my heart feel sore
'Cause it's good
Ooh, it's good"
Megalomania,Origin of Symmetry,2001,"[Refrain]
Paradise comes at a price
That I am not prepared to pay
What were we built for?
Could someone tell me please?

[Verse 1]
The good news is she can't have babies
And won't accept gifts from me
What are they for? They'll just grow up
And break the laws you've loved

[Chorus]
Take off your disguise
I know that underneath it's me, ooh

[Post-Chorus]
Who are you?
Ooh

[Verse 2]
Useless device, it won't suffice
I want a new game to play
When I am gone, it won't be long
Before I disturb you in the dark

[Refrain]
And paradise comes at a price
That I am not prepared to pay
What were we built for?
Will someone tell me please?

[Chorus]
Take off your disguise
I know that underneath it's me

[Outro]
Woah, oh
Huh, huh"
Futurism,Origin of Symmetry,2001,"[Verse 1]
Ignorance pulls
Apostasy and apathy still rules
Yeah, you know it's cool
Just suck and see
A future turns us into silent gods
And I won't miss you at all

[Chorus]
Grounded, boxed in
Like the evil in your veins
Grounded, boxed in
I am stuck with you

[Verse 2]
Fate can't decide
Alignment of the planets in your hands
Come on, crush our plans
Just suck and see
A future that won't let you disagree
And I won't miss you at all

[Chorus]
Grounded, boxed in
Like the evil in your veins
Grounded, boxed in
I am stuck with you

[Outro]
Feel it, hear it, apathy you are
See it, be it, you'll see"
Intro,Absolution,2003,"*Foot stomping*
Sieg heil, Marsch!"
Apocalypse Please,Absolution,2003,"[Verse 1]
Declare this an emergency
Come on and spread a sense of urgency
And pull us through
And pull us through

[Chorus]
And this is the end, the end
This is the end of the world

[Verse 2]
And it's time we saw a miracle
Come on, it's time for something biblical
To pull us through
And pull us through

[Chorus]
And this is the end
This is the end of the world

[Instrumental Break]

[Verse 3]
Proclaim eternal victory
Come on and change the course of history
And pull us through
And pull us through

[Chorus]
And this is the end
This is the end of the world"
Time Is Running Out,Absolution,2003,"[Verse 1]
I think I'm drowning, asphyxiated
I wanna break this spell that you've created
You're something beautiful, a contradiction
I wanna play the game, I want the friction

[Refrain]
You will be the death of me
Yeah, you will be the death of me

[Pre-Chorus]
Bury it
I won't let you bury it
I won't let you smother it
I won't let you murder it

[Chorus]
Our time is running out
Our time is running out
You can't push it underground
You can't stop it screaming out

[Verse 2]
I wanted freedom, bound and restricted
I tried to give you up but I'm addicted
Now that you know I'm trapped, sense of elation
You'd never dream of breaking this fixation

[Refrain]
You will squeeze the life out of me

[Pre-Chorus]
Bury it
I won't let you bury it
I won't let you smother it
I won't let you murder it

[Chorus]
And our time is running out
Our time is running out
You can't push it underground
You can't stop it screaming out
How did it come to this?

[Post-Chorus]
Ooh-ooh-ooh, yeah-yeah-yeah-yeah-yeah
Ooh-ooh-ooh, yeah-yeah-yeah-yeah-yeah
Ooh-ooh-ooh, yeah-yeah, yeah-yeah-yeah

[Instrumental Bridge]

[Refrain]
Yeah, you will suck the life out of me

[Pre-Chorus]
Bury it
I won't let you bury it
I won't let you smother it
I won't let you murder it

[Chorus]
And our time is running out
Our time is running out
You can't push it underground
You can't stop it screaming out
How did it come to this?

[Post-Chorus]
Ooh-ooh-ooh, yeah-yeah-yeah-yeah-yeah
Ooh-ooh-ooh, yeah-yeah-yeah-yeah-yeah
Ooh-ooh-ooh, yeah-yeah, yeah-yeah-yeah"
Sing for Absolution,Absolution,2003,"[Verse 1]
Lips are turning blue
A kiss that can't renew
I only dream of you, my beautiful
Tiptoe to your room (Tiptoe to your room)
A starlight in the gloom (A starlight in the gloom)
I only dream of you (I only dream of you)
And you never knew (And you never knew)

[Chorus]
Sing for absolution
I will be singing
And falling from your grace, ooh

[Verse 2]
There's nowhere left to hide
In no one to confide
The truth burns deep inside and will never die
Lips are turning blue (Lips are turning blue)
A kiss that can't renew (A kiss that can't renew)
I only dream of you (I only dream of you)
My beautiful (My beautiful)

[Chorus]
Sing for absolution
I will be singing
And falling from your grace, hey

[Instrumental Break]

[Chorus]
Sing for absolution
I will be singing
And falling from your grace, yeah

[Outro]
Our wrongs remain unrectified
And our souls won't be exhumed"
Stockholm Syndrome,Absolution,2003,"[Verse 1]
I won't stand in your way
Let your hatred grow
And she'll scream, and she'll shout, and she'll pray
And she had a name, yeah, she had a name

[Verse 2]
I won't hold you back
Let your anger rise
And we'll fly, and we'll fall, and we'll burn
And no one will recall, no one will recall

[Chorus]
This is the last time I'll
Abandon you
And this is the last time I'll
Forget you
I wish I could!

[Verse 3]
Look to the stars
Let hope burn in your eyes
And we'll love, and we'll hate, and we'll die
All to no avail, all to no avail

[Chorus]
This is the last time I'll
Abandon you
And this is the last time I'll
Forget you
I wish I could!

[Instrumental Break]

[Chorus]
This is the last time I'll
Abandon you
And this is the last time I'll
Forget you
I wish I could!

[Outro]
I wish I could!"
Falling Away with You,Absolution,2003,"[Verse 1]
I can't remember when it was good
Moments of happiness elude
Maybe I just misunderstood
All of the love we left behind
Watching the flashbacks intertwine
Memories I will never find
So I'll love whatever you become
And forget the reckless things we've done
I think our lives have just begun
I think our lives have just begun

[Chorus]
And I'll feel my world crumbling
I'll feel my life crumbling
I'll feel my soul crumbling away
And falling away
Falling away with you

[Verse 2]
Staying awake to chase a dream
Tasting the air you're breathing in
I know I won't forget a thing
Promise to hold you close and pray
Watching the fantasies decay
Nothing will ever stay the same
And all of the love we threw away
And all of the hopes we've cherished fade
Making the same mistakes again
Making the same mistakes again

[Chorus]
And I'll feel my world crumbling
I'll feel my life crumbling
I'll feel my soul crumbling away
And falling away
Falling away with you

[Outro]
All of the love we left behind
Watching the flashbacks intertwine
Memories I will never find
Memories I will never find"
Interlude,Absolution,2003,
Hysteria ,Absolution,2003,"[Verse 1]
It's bugging me, grating me
And twisting me around
Yeah, I'm endlessly caving in
And turning inside out

[Chorus]
'Cause I want it now, I want it now
Give me your heart and your soul
And I'm breaking out, I'm breaking out
Last chance to lose control

[Verse 2]
Yeah, it's holding me, morphing me
And forcing me to strive
To be endlessly cold within
And dreaming I'm alive

[Chorus]
'Cause I want it now, I want it now
Give me your heart and your soul
I'm not breaking down, I'm breaking out
Last chance to lose control

[Guitar Solo]

[Chorus]
And I want you now, I want you now
I'll feel my heart implode
And I'm breaking out, escaping now
Feeling my faith erode"
Blackout,Absolution,2003,"[Verse 1]
Don't kid yourself
And don't fool yourself
This love's too good to last
And I'm too old to dream, yeah-yeah, ooh

[Verse 2]
Don't grow up too fast
And don't, mmm, embrace the past
This life's too good to last
And I'm too young to care, yeah-yeah, ooh

[Instrumental Break]

[Verse 3]
Don't kid yourself
And don't fool yourself
This life could be the last
And we're too young to see
Woah-woah-woah, mmm"
Butterflies and Hurricanes,Absolution,2003,"[Verse]
Change everything you are
And everything you were
Your number has been called
Fights and battles have begun
Revenge will surely come
Your hard times are ahead

[Chorus]
Best, you've got to be the best
You've got to change the world
And use this chance to be heard
Your time is now (Your time is now)

[Verse]
Change everything you are
And everything you were
Your number has been called
Fights and battles have begun
Revenge will surely come
Your hard times are ahead

[Chorus]
Best, you've got to be the best
You've got to change the world
And use this chance to be heard
Your time is now (Your time is now)

[Instrumental Break]

[Piano Solo]

[Bridge]
Don't let yourself down
Don't let yourself go
Your last chance has arrived

[Chorus]
Best, you've got to be the best
You've got to change the world
And use this chance to be heard
Your time is now (Your time is now)"
The Small Print,Absolution,2003,"[Verse 1]
Take, take all you need
And I'll compensate your greed
With broken hearts
Sell, and I'll sell your memories
For fifteen pounds per year
But just the good days

[Chorus]
Say, it'll make you insane
And it's bending the truth
You're to blame
For all the life that you'll lose and
You watch this space
And I'm going all the way
And be my slave to the grave
I'm a priest God never paid, ooh

[Verse 2]
Hope, and I hope you've seen the light
'Cause no one really cares
They're just pretending
Sell, and I'll sell your memories
For fifteen pounds per year
But you can keep the bad days

[Chorus]
Say, it'll make you insane
And I'm bending the truth
You're to blame
For all the life that you'll lose and
You watch this space
And I'm going all the way
And be my slave to the grave
I'm a priest God never paid, ooh

[Chorus]
Say, it'll make you insane
And I'm bending the truth
You're to blame
For all the life that you'll lose and
You watch this space
And I'm going all the way
And be my slave to the grave
I'm a priest God never paid, ooh



"
Fury ,Absolution,2003,"[Verse 1]
You're so happy now
Burning the candle at both ends
Your self-loving soothes
And softens the blows you've invented

[Chorus]
Breathe in deep
And cleanse away our sins
And we'll pray that there's no God
To punish us and make a fuss

[Verse 2]
Cracks healing up
Future soul forgive this mess
You waste twenty years
And wind up alone demented

[Chorus]
Breathe in deep
And cleanse away our sins
And we'll pray that there's no God
To punish us and make a fuss

Breathe in deep
And cleanse away our sins
And we'll pray that there's no God
To punish us and make a fuss"
Endlessly,Absolution,2003,"[Verse 1]
There's a part of me you'll never know
The only thing I'll never show

[Chorus]
Hopelessly
I'll love you endlessly
Hopelessly
I'll give you everything
But I won't give you up
I won't let you down
And I won't leave you falling
If the moment ever comes

[Verse 2]
It's plain to see it's trying to speak
Cherished dreams forever asleep

[Chorus]
Hopelessly
I'll love you endlessly
Hopelessly
I'll give you everything
But I won't give you up
I won't let you down
And I won't leave you falling
If the moment ever comes

[Instrumental Break]

[Chorus]
Hopelessly
I'll love you endlessly
Hopelessly
I'll give you everything
But I won't give you up
I won't let you down
And I won't leave you falling
But the moment never comes"
Thoughts of a Dying Atheist,Absolution,2003,"[Verse 1]
Eerie whispers trapped beneath my pillow
Won't let me sleep, your memories
And I know you're in this room, I'm sure I heard you sigh
Floating in between where our worlds collide

[Chorus]
Scares the hell out of me
And the end is all I can see
And it scares the hell out of me
And the end is all I can see
Yeah-yeah, yeah-yeah, yeah-yeah, woah

[Verse 2]
And I know the moment's near
And there's nothing we can do
Look through a faithless eye
Are you afraid to die? Yeah

[Chorus]
'Cause it scares the hell out of me
And the end is all I can see
And it scares the hell out of me
And the end is all I can see
Yeah-yeah, yeah-yeah, yeah-yeah, woah

[Instrumental Bridge]

[Chorus]
And it scares the hell out of me
And the end is all I can see
And it scares the hell out of me
And the end is all I can see
Yeah-yeah, yeah-yeah, yeah-yeah, woah"
Ruled by Secrecy,Absolution,2003,"[Verse 1]
Eerie whispers trapped beneath my pillow
Won't let me sleep, your memories
And I know you're in this room, I'm sure I heard you sigh
Floating in between where our worlds collide

[Chorus]
Scares the hell out of me
And the end is all I can see
And it scares the hell out of me
And the end is all I can see
Yeah-yeah, yeah-yeah, yeah-yeah, woah

[Verse 2]
And I know the moment's near
And there's nothing we can do
Look through a faithless eye
Are you afraid to die? Yeah

[Chorus]
'Cause it scares the hell out of me
And the end is all I can see
And it scares the hell out of me
And the end is all I can see
Yeah-yeah, yeah-yeah, yeah-yeah, woah

[Instrumental Bridge]

[Chorus]
And it scares the hell out of me
And the end is all I can see
And it scares the hell out of me
And the end is all I can see
Yeah-yeah, yeah-yeah, yeah-yeah, woah"
Take a Bow,Black Holes and Revelations,2006,"[Verse 1]
Corrupt, you corrupt
And bring corruption to all that you touch
Hold, you'll behold
And beholden for all that you've done

[Verse 2]
And spell, cast a spell
And cast a spell on the country you run
And risk, you will risk
You will risk all their lives and their souls

[Chorus]
And burn, you will burn
You will burn in Hell, yeah, you'll burn in Hell
You'll burn in Hell, yeah, you'll burn in Hell
For your sins

[Bridge]
Ooh, and our freedom's consuming itself
What we've become
Is contrary to what we want
Take a bow

[Verse 3]
Death, you bring death
And destruction to all that you touch
Pay, you must pay
You must pay for your crimes against the earth

[Verse 4]
And Hex, feed the Hex
Feed the Hex on the country you love
And beg, you will beg
You will beg for their lives and their souls

[Chorus]
And burn, you will burn
You will burn in Hell, yeah, you'll burn in Hell
You'll burn in Hell, yeah, you'll burn in Hell
For your sins"
Starlight,Black Holes and Revelations,2006,"[Verse 1]
Far away
This ship is taking me far away
Far away from the memories
Of the people who care if I live or die

[Verse 2]
A starlight
I will be chasing a starlight
Until the end of my life
I don't know if it's worth it anymore

[Interlude]
Hold you in my arms
I just wanted to hold you in my arms

[Verse 3]
My life
You electrify my life
Let's conspire to ignite
All the souls that would die just to feel alive

[Pre-Chorus]
I'll never let you go
If you promise not to fade away
Never fade away

[Chorus]
And our hopes and expectations
Black holes and revelations
And our hopes and expectations
Black holes and revelations

[Post-Chorus]
Hold you in my arms
I just wanted to hold you in my arms

[Verse 1]
Far away
This ship has taken me far away
Far away from the memories
Of the people who care if I live or die

[Pre-Chorus]
I'll never let you go
If you promise not to fade away
Never fade away

[Chorus]
And our hopes and expectations
Black holes and revelations, yeah
Our hopes and expectations
Black holes and revelations

[Post-Chorus]
Hold you in my arms
I just wanted to hold you in my arms

[Outro]
I just wanted to hold"
